system   D            wsystem.c:583  maybe_parent_dir                 [   0.00087] Also searching C:\Dev\Cpp\AllegroLerningApp\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00153] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00156] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.02145] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.07022] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.07027] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.07137] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.07140] al_display=007EC2D8
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.07142] al_display->vt=0085FCB0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.07339] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.07343] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07345] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07346] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07347] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07348] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07349] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07350] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07351] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07352] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07354] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07355] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07356] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07357] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07359] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07361] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07363] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07364] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07366] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07367] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07369] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07371] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07373] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07374] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07386] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07388] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07390] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07392] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07393] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07395] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07397] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07398] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.07400] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.07401] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07403] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07404] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07406] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07407] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07408] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07409] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07411] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07412] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07413] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07414] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07415] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07416] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07417] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07418] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07420] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07421] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07422] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.07423] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.07424] Single Buffer requirement not met.
